,toxic,not_toxic
29,this junk job is a gold mine.,The trash business is a gold mine.
30,"'he's a Troll New Year, 'said Detritus.","'It Troll New Year,' said Detritus."
31,Show her how the cow eats the cabbage you hopeless loser.,show her how the cabbage cow is hopelessly lost.
32,to be able to cut people's brains out today.,To be cutting into brains today.
33,"Gryilus, the father of young Phylon. I slashed his face with a whip.","Grylla, father of young Phylon. I beat him up."
34,"""Get out of here, Ray, I'm gonna fight them!""","""get out of here, Ray, I'll deal with them!"""
35,Bleeker's mom was possibly attractive once. But now she looks a hobbit.,Bleeker's mom might have been once attractive...... but now she was a terrible box.
36,"Zoidberg, I'm gonna put my boot so far up your cloaca, you'il be...","Zoidberg, I'm gonna stick my shoe so deep in your cloaks when I..."
37,still... There... All yours could shoot.,I then ... there ... no ... all your shooting.
38,"I wonder if he paints his junk, too.",I'm wondering if he's done his thing.
39,you're a girl in a yellow dress that nearly killed herself.,There's a girl in a yellow dress out there who almost got killed.
40,I'm sorry for screwing you.,I'm sorry I sold you out.
41,woman damn.,That woman.
42,but I'm not going to sleep until the fucker's back behind bars.,But I'm not going to get a good night's sleep until that S.O.B. is back behind bars.
43,"shut up, I know what you want.",I know what you want.
44,"Mr. Bradley, if you don't mind, I think you're out of your mind.","Mr. Bradley, if you don't mind my saying so... - I think you are a ringer."
45,"No, she's gotta go. Shit.","no, she's got to go."
46,"Come over here, so I'll kiss you.",come over here so I can kiss you.
47,Milly.,Milly?
48,"attack, hit it.","Offense, get out there."
49,"the smell, it stinks.",That stench is the smell -
50,his mother says he's a little gay.,His mother says he's a bit of a fairy.
51,"Gary, man, screw this.","Gary, man, just allow it."
52,You didn't threaten to break his legs and then crush him into powder?,you didn't promise to break his legs and spread him to dust?
53,"I'm gonna get you, asshole!","I'm gonna get you, man!"
54,I thought you were complaining about my dick.,I thought you were the butcher grumbling about my birds.
55,And Etienne married that fat girl of his.,Etienne married his girl.
56,"he goes like a dogmatic, he talks like a dogmatic.","He walks like a hard-liner, talks like a hard-liner."
57,"Up on the attic, donkey.","it's in the attic, man."
58,You're pretentious romantic.,you're such a romantic.
59,The roads are crawling with cutthroats and bandits.,"on the road, it's only crawling with thugs."
60,Kick them out of Sudan where they get oil.,"dig them out of Sudan, where they buy oil."
61,"Bring me something I love, I'll kill it.",bring me something I love.
62,"don't die, bro.","Don't be dead, mate."
63,Did silly miss Avery give you a fright?,didn't the crazy Avery scare you?
64,And I brought back a string of useless ponies. Which I cannot sell again.,and I have purchased worthless ponies I no longer sell.
65,"Then Regan licked a wolfish, blackened tongue across her cracked and swollen lips.","then Regan licked the rippling, blackened tongue cracked and swollen lips."
66,"And when he threated to tell the police, you killed him, just like the journal said you would.","and when he threatened to report it to the police, you killed him just as it was written in the diary."
67,the woman would not be good.,That woman no good.
68,"if it makes you feel any better, I hate him as much as you do.","If it's of any comfort, I despise him as much as you do, having to hire me."
69,Where do you go while I kill myself onstage?,where do you go when I work on stage?
70,I'm a mack daddy pimp.,"I'm Mac Daddy, pimp."
71,You cannot call Bobby Womack weird shit?,Bobby Womack isn't weird music.
72,it's disgusting here.,It is filthy in here.
73,"Jeez, your aunt throws a kicking party.",your aunt's having a nice party.
74,"I would love to stay and get shit-faced with you guys, but I'm going to go see him.","I'd really like to stay here with you guys, but I have to see Chris."
75,God damn him!,Jesus! -
76,our loser?,Our carpenter?
77,Go talk to that bald bastard.,talk to the bald guy.
78,where the hell do you think you're going?,Where on earth do you think you're going?
79,His left hand is useless now.,he can't use his left hand.
80,"Another one, Pulcinella, was way sadistic.","another character, Pulcinella, was a realist."
81,We can't very well have these shitbirds graduating and going off into the world.,we must not allow those collisions to graduate and go out into the world.
82,"will you follow me around the city, or do you have the balls to introduce yourself to me?","You're gonna tail me around town, at least have the stones to introduce yourself, huh?"
83,Disgusting food.,nasty food.
84,"if Gaines caught you with him, you'd be dead.","Dude, you're lucky. if Gaines caught youwith her..."
85,it's time to destroy hers.,Time to sabotage hers.
86,I'd rather read your shit than apologize.,I'd rather read your drivel than apologize. BRENNAN (on video):
87,The only daughter of the filthy-rich Ramgopal Bajaj... ...you've been to the whole of the world.,"the only daughter of the bebeheaded Ramgopal Badnee, you visited the world."
88,I want the man that killed Todd.,I want a guy who got Todd.
89,"You're gonna shit and fall back in it, that's all.","you're fine, and you're scared of it, that's all."
90,This is the best part of my day and I don't need you fucking it up.,"this is the best part of the day, and I don't want you to screw up on me."
91,"Bodine recently found out his typical rude laugh, buttocks, sounds more German, chah, chah.","Bodine finds presently that his characteristic gross laugh, hyeugh, hyeugh, has grown more German, tjachz, tjachz."
92,"the only one I want to see is the one who's gonna bring the bitches to me, okay?",The only one I want to see is the one who brings those cons to me.
93,what foolishness just to think that we shouldn't shame God.,What folly to even think that we should not insult such a God...
94,"Same shit, different day.","all the same, just another day."
95,Where the fuck were you going?,where were they going?
96,"Oh, Zack really kicked my ass at the gym today.","Whoa, Zach tore me up in the gym today."
97,"You know, that Goldilocks'd sure save us a lot of time by complaining less about the temperature of the porridge, and just eating the damn stuff.",the Goldilocks would have saved us a lot of time if she still didn't complain about the temperature of the porridge and it just blew it up.
98,"Hey, honeybunch, what say you get me out of these cuffs, we go off somewhere and bump some uglies?","hey, baby, what do you say you let me go and then we can go somewhere?"
99,so I called Mr. McGulager and informed him that Gambian rats had grown here.,So I called Mr. McGulager and informed him that the community is infested with african gambian pouch rats.
100,"his face was a deadly expression, and his nose was no bigger than a monkey.",A dead-looking face with no more nose than an ape.
101,I advise that this place be shut up at once.,I advise you to shut it down.
102,what age do you start to laugh about when you wear your stupid clothes?,What age do they start making fun of you... if you wear the wrong clothes?
103,Bloom was still yelling at me: Why doesn't he fly with the balls too?,"Bloom kept yelling that, ""Why didn't the Balls get on the plane?"""
104,she's got the naked Heidi Klum.,We're out of naked Heidi Klum.
105,Riley's a doof.,Riley's fine.
106,"Keystone University, where blowjobs are the key to my dorm room.","the Keystone Universite, where the banished brunt is the key to my room."
107,shut up and sit down.,Zip it and sit.
108,he killed her.,He said he killed it.
109,"you ruined my life, you son of a bitch.","You ruined a year of my life, mother"
110,how can you lose a six-foot dick in a mall?,How do you lose a 20-foot bird in a mall?
111,Said jerk would have discovered himself sprawled on the floor while the Marine lieutenant went on her way as unperturbed as a lioness brushing past a mouse.,"the nut would have ended up sprawled on the floor, while this Marine lieutenant commander would continue undisturbed in the way of a lioness when he brushed against the mouse."
112,what do you think of this shit?,What do you think about this one?
113,"Let go, you monster!",let the monster go.
114,"but Pancho was paranoid, and he kept waiting for the Obregón to try to kill him.","But pancho was paranoid, Always waiting for obregón's men to assassinate him."
115,"Dear Silas: if you never see me again, I've probably been murdered.","""dear Silas, if you don't see me, I've probably been murdered."""
116,let me in or it will be my death.,Come on. Let me in. I'll catch my death out here.
117,There's only one kid crooked enough to do this but young enough not to know it would burn you.,"there's only one child who would do something so sick, but young enough not to know it would be hot."
118,"I'm not going to apologise again, because you're right, I'm a liar.","I'm not apologizing again, Anna, because you're right."
119,"I like it ""Kill Bill"" bloody.","bloody as in ""Kill Bill."""
120,You look like gay Iron Man.,you look like a warm Iron Man.
121,Kill us!,it killed him!
122,We should be grateful he kept his crazy at home.,we should be happy he was crazy at home.
123,But feel free to come over and dig through the hotel garbage.,but you can come by and search the hotel garbage.
124,"and if I could get inside of you, I'd show them again, I'd teach them a lesson! '","And if I could have got you in, I’d have showed ‘em again, I’d have taught them their lesson!”"
125,"I thought you said it was dangerous and morally repugnant, but what the hell!","I thought you said it was dangerous and cruel, but I don't care!"
126,"Damn it, Toby, say something!","oh, hell, Toby, say something."
127,You cashed in on your sex organs.,you abused your gender.
128,They're dirty.,it's dirty.
129,"no, you're a bigger nerd.","No, you're a great kidder."
130,Are you sick?.,are you sick?
131,After that . . . Shaithis could have bitten off his forked tongue.,then Shaithis would have bitten his rugged tongue.
132,"The prisoners that the man fell on cursed him and one of them, heavyset and built like a bulldog, chopped him viciously on the neck with the side of his hand.","the prisoner, on which the man had fallen, lured; a wide-ranging cut, like a bulldog, struck him in the neck with the back of his hand."
133,but you can't keep out of your crazy eyes forever.,But you can't avoid the crazy eyes forever.
134,I want to save your father.,I'm trying to help your father.
135,Just a bunch of hippie freaks.,a group of hippie freaks.
136,"""am I being ridiculous?"" Said Biddy, raising her eyebrows slightly.","""Was I absurd?"" said Biddy, quietly raising her eyebrows;"
137,I know this sounds stupid... but have you ever just walked up to a girl here and said hi?,"I know it sounds silly, but did you ever try to come up with some girl and say hi?"
138,Is a fake.,it's a fake.
139,kill the fire and evacuate the people!,Suppress the fire and evacuate the people!
140,Do you really think Interpol are after us? ...because those jerks in Frankfurt rejected our appeal?,do you think Interpol was after us when they dismissed the appeal in Frankfurt?
141,Yes. Shooting wild.,wild shooting.
142,What the fuck? - Bring him in before he breaks the house.,bring him before he breaks the bank.
143,Ordell feels way too hot for him to bring in his money... and he knows you're watching him and he's fucking paranoid.,Ordell makes sense that he's too dangerous to bring everything... and he knows you're watching him and he's pretty paranoid.
144,I killed myself at MIT while everyone was out killing orcs and pillaging villages and getting all sorts of booty.,"I dined at MIT while the rest killed the ogres, ploughed villages and retrieved various spoils."
145,"if you were your father, I wouldn't be kissing you right now.",No. If you were your father... I doubt very much if I would have kissed you.
146,You're too damn cocky.,you're pretty cocky.
147,the black guy's got to be in the chicken coop for a waffle?,So a black mars gotta be at a chicken and waffles place?
148,"girls: Amenorrhea, menoragia, menstrual disorder, vaginal disorder.","Enuresis, micturition disorder, urinary incontinence, proteinuria"
149,"Or perhaps it is you, Selene as the last of your wretched family who has something to hide.","or maybe it's you, Selene, the last of that unhappy family...... who's hiding something."
150,get off me.,Lay off me.
151,The fuck are you talking about?,what are you talking about?
152,"shoot, Pip, nobody likes you!","Go away, Pip, nobody likes you!"
153,Make me go all John McClane on their asses.,I'll run on them like John McClane.
154,nice misery.,What a misery.
155,One of the most lied-about subjects has to be sex.,one of the areas he's most lying about is sex.
156,"Guy has a $200 million heterosexual movie coming out in a month, picks up a tranny on Sunset Boulevard.",he's going to the cinema for a month in cinemas for 200 million - and he's going to pack a trance.
157,it's like he wanted to win a competition for the greatest jerk of the year.,It's like he's running for douche bag of the year.
158,The reader clearly belonged to the school of thought which holds that a sense of the seriousness or greatness of a poem is best imparted by reading it in a silly voice.,"the lecturer undoubtedly belonged to that thought school, who claims that the sense of seriousness and size of a poem is best proved when they do so in recess with a voice."
159,So you're a shit like us.,you're just like us.
160,That's good shit.,good stuff.
161,"if you let this job burn you alive, you'll never make it. ""","If you let this business eat you alive, you'll never make it."
162,"hit me, baby!","Scorch me, baby."
163,"and Kenny, act like a Jew.",Try and act Jewish!
164,I bet he'd be pretty disappointed if he found out you were butchering a priest.,I bet he's gonna be pretty disappointed when he finds out you knifed a priest
165,"God be damned your eyes! ""Said Gorth, turning away from the dining room window and pushing through the traders.","Gorth said, turning away from the dining room window and pushing through the traders."
166,They'll be dead in a week.,I'll die for a week.
167,"congratulations, you have your natural death.",Congrats. Got your natural.
168,So what kind of work could she do for a sex club?,so what job could she do at sex club?
169,"He killed his two children, then he killed himself!",he shot both children and then himself.
170,"you know, I don't like being friends with ugly little girls.","You see, I don't like you being friends with naughty girls."
171,we should tie him up.,We'd better bind him.
172,"I'm not dying because of you, Piglet.","I'm not dying for you, Piggy."
173,You're making me do the whole fucking thing.,you're forcing me to deal with this whole thing.
174,Then fucking help me.,then help me out.
175,"and the murder, which is your death sentence, you didn't commit.",And the one that gets you the death sentence is the one you didn't do.
176,I'll live with you in this hellhole.,and I'll be with you in this mess.
177,to hell with tea!,The hell with tea!
178,I can do it with deranged.,I can do freaky.
179,You hate his guts?,do you hate him to death?
180,but it looks like he's really going to die.,He looks as if he's going to die anyway.
181,You wretched girl!,you poor girl!
182,Don't bloody touch me!,don't touch me!
183,or I'll blow it up in the air around you.,Or into the air around you.
184,"You know, there ought to be a law against you damn foreigners buying up America.",there should be a law in buying America for foreigners.
185,we cut all the questions about kissing from the losers of all girls' magazines.,We cut out all the letters about kissing from the problem pages of every girls' magazine.
186,It'll sink the goddamn paper.,it's going to sink the entire newspaper.
187,You have broken so many tapu today that Makemake should eat your souls in hell for eternity!,"you have broken many taboos today. Today, Makemake will gobble your souls into a hell of an eternity!"
188,And we have to change our names again. Son of a bitch.,and we have to change our name again.
189,Call me retard one more time! Do it!,you tell me once more!
190,Are you out of your minds?,have you lost your mind?
191,"Get away from me, you evil towel.","get away from me, bad towel!"
192,"Fuck, you're always late.",you're always late.
193,and that scoundrel waits near the candle.,"And he is waiting, this villain, beside that candle."
194,"You won't, you're a pussy.",you won't. You're scared.
195,"If you insist, Master lnuyasha... do it over my dead body!",master Inuyasha... over my dead body!
196,This is one of the most painful fucking experiences of my life.,this is one of the worst situations of my life.
197,"oh, shit.","Oh, hell..."
198,what the hell was that?,And what was she singing?
199,I've been a fool. I hope you can forgive me. You were right.,"I know I screwed up, but you may forgive me because you were right."
200,"Believe me, Goldie, you can be fat and happy.","believe me, Zehava, I can be fat, even happy."
201,I never doubted he had a good enough reason to kill whoever he killed.,I never doubted the fact that he had ample and good reason for killing whoever he did kill.
202,He'd get wasted and then try and drown me in a can of old Milwaukee.,"once he was drunk, he tried to drown me in a can of beer."
203,"Quick! Grab as many as you can before someone sees us. Damn, I lost him.","quick, take what you can until somebody sees us."
204,Then he takes a shot at that thatched roof.,then he'll fire him on that thatch roof.
205,Where the fuck is gas money kid going?,where the hell did the guy that paid for the gas?
206,Do you really want to see a middle-aged woman pee right here in the street?,you really want to see a middle-aged woman who wet herself in the street?
207,Holy shit. And other places that provide service to the public.,"oh, my God.... and other public service places."
208,we will pay for their lives.,We'll make it a life for a life.
209,"Get the hell outta here, Bernie.","get out of here, Bernie."
210,cut his head off.,Cut the head off the snake.
211,They're all losers.,they're all riflemen.
212,You also called Richie's boyfriend a Truvada whore.,you also called Richie's friend a pillion.
213,"Okay, well, just eating out and doing the damn dry cleaning is costing us $600 a month.","all right, but only food in town and the cleaners cost us $600."
214,"I'm not blind 23 hours a day or 22 hours a day, I'm blind the whole goddamn time!","I'm not blind only 23 hours, or 22 hours a day, I'm blind all day."
215,A fucking palace!,it's a palace.
216,"You can keep the damn ring, by the way.","you can keep the ring, by the way."
217,"The cowards Are the politicians who send us into battle, Second-guess every decision",Cowboys are politicians who send us into battle and questioning every decision we make.
218,The only real cure is to find the source of infection... ...and kill it.,the only cure is to find a source of that infection and destroy it.
219,"you can either sit in a hole and blame your parents and your brother for years, or you're gonna let me get you out of here and make a man out of you.","Now, you can spend the next few years locked up in a cage, blaming Mommy and Daddy and mean older brother for your problems, or you can let me get you out of here and teach you how to be a man."
220,don't try the devil. He's always hungry.,"Don't tempt the devil, he's hungry."
221,It's just goddamn beyond everything.,it's beyond everything.
222,Get on that fucking chopper now!,get in the helicopter!
223,these mountains can make a fool of a man.,These mountains can make a man a little mad.
224,"You'll look like hell when you go back to him, OK?","you're gonna look awful when you get back to him, okay?"
225,"the German IQ was only slightly above the temperature in the room - he even tried to debate Marxism-Leninism, an idiot.",The German's IQ was little more than room temperature he'd even wanted a discussion of Marxism-Leninism with his visitor!
226,Or? Rip up the damn floor and get the animals out of there.,or? Pull the floor and pull the animals out.
227,women love men with breasts.,Women love men with knockers.
228,But one of them was a real witch.,but one of them could really magic.
229,a disease that will make you a rapist.,An illness that makes you violent.
230,Gang up on me now that you and Studmeister General here have taken your male and female juices and mixed them all together into a flagrant smorgasbord of bodily soup.,"to form against me here with Gambrinis, take your men's men and women's juices and mix them into a colourful mixture of body soup."
231,he took out his gun in the lobby and shot me.,He almost drew his gun and shot me out in the lobby.
232,I'm a loser and an ex-con.,"No, I'm just a broken-down ex-con."
233,How the hell do you--,how did you...
234,"what's your problem, moron?","What's your problem, bozo?"
235,do you remember the fool in the woods?,Remember the nut in the woods?
236,You're such a buffoon you almost forget to mention it?,"there's a man-eater, and you're so sure you almost forgot to tell me?"
237,I planted a tree in the exact location where I caught Finn and Quinn Fabray fondling each other's breasts.,I planted a tree right there where I caught Finn and Quinn Fabraya admiring their lumps.
238,"and for me to wear this stinky, nasty, brown smudge in the dark and humid...","And now I have to carry the sloppy, gloppy, stinky stew down in the damp, dark, dingy..."
239,there's a traitor in the CIA!,There is a mole in the CIA!
240,"Sheboygan Lager, bitch!","Sheboygan Lager, man!"
241,Some shit got spilled on me!,there's some hummus on me!
242,"Now that your kodak moment is out of this box, to hell with everyone else, right?","well, now that your picture's gone out of the box... you're pissing on everyone else, aren't you?"
243,try this shit.,Try this chair.
244,I think he's a dick 'cause he had nothing to say.,But I think he just did it 'cause he couldn't think of anything to say.
245,shit!,"Aw, man!"
246,Miserable Romans. No sense of humor.,they don't even have a sense of humor.
247,disgusting.,"Uh, gross."
248,Casey leaves him in the desert to die.,Casey takes him to the desert.
249,and this bitch is also from an accident on a playground.,And that bad boy right there is also from a jungle-gym accident.
250,I shot an entire crew to prevent an epidemic.,I inoculated the entire crew to prevent an outbreak.
251,he must completely erase a woman as a yearling creature.,He has totally to erase the woman as a desiring entity.
252,"""no, sir,"" the old black replied, then stood on his feet.","""No, sir!"" the old black answered quickly, as he stood up straight."
253,sons of bitches!,Sons of jackals!
254,"Yes, I think it's really tragic that this is the kind of junk... ...that's passing for art these days.","yes, I think it's tragic that this kitsch is now regarded as art."
255,"""just by telling you, I could cause your souls to fry a thousand years in hell,"" said Vorbis.","""Even telling you could put your soul at risk of a thousand years in hell,"" said Vorbis."
256,"next time, cut off my finger I'll pull the trigger.",Next timetake the trigger finger.
257,"He claims he's Santa Claus, and the D.A. Claims he's nuts.",he claims to be Santa and the DA says he's crazy.
258,We're not fucking around.,we're not kidding.
259,"And if you don't, Earl's just waiting around to get dead.","and if you don't want to, Earl just wait to see the dead."
260,We are going to wipe the floor with those girls.,let's shake the floor with these girls.
261,"as you've told me, I live in hell.","Just like you said, I have been living in hell."
262,That somebody's about to seriously fuck with this airport.,someone's going to make a big deal with this airport.
263,"then there's the chain, damn it?",Where's that chain?
264,"listen, pervert.","Listen, sicko."
265,You are traitorous villains.,you're a tradesman.
266,if you don't come to me... I know part of me will die.,I know some part of me will surely die.
267,"We all have shit we gotta live with, Princess.","we all have the dirt we have to live with, Princess."
268,you're shit.,You're nothing.
269,You little f...,you little...
270,"I didn't want to kill your brother, but he didn't die in vain, if that would help.","I didn't mean to kill your brother, but he didn't die in vain."
271,"we'll tie him up in a big salon, and you'll keep him out of bed after night.","We will bind him up in his grand saloon, and you shall drink of him, night after night."
272,"come on, goddamn it!","Go, go, go, for Christ sakes!"
273,burn you if you treat the guests like this.,"You're gonna get fired, you keep treatin' the guests like that."
274,"So, you're saying that your whole entire life is predetermined to suck, no matter what you do?","so you're saying your whole life is meant to be about nothing, no matter what you do?"
275,when you feel like someone pissing in your face all day.,Where you feel like somebody is pissing in your face all day long.
276,this crook is serious.,This Bad Guy was serious.
277,"a book about sex and clothes that don't scream: ""Hate me!""","A book about sex and an outfit that doesn't scream ""Hate me. """
278,You are a man who aspires to handle the scrotums of other men in his free time.,you're the man who requires other men in his spare time.
279,if you...... strike me one punch...... I'll bow and call you the master.,"Lf... ...you land a single blow, I'll bow down and call you master."
280,"""we killed that Sbours, but many others....""","""We slew the Orc, but many more...."""
281,he won't hang you in the morning.,You won't be hung in the morning.
282,only to suffer and die again and again.,to suffer and die time and time again.
283,"without it, all of us would be just monsters.","Without this, we are no more than beasts."
284,He thrust the sharp tip at an angle under the hateful man's chin and rammed it all the way to the back of his skull.,"he thrust a sharp point toward the man's chin, then stopped him to the back of his skull."
285,"Teppic took a step backward, then dropped his knife round his nose and stabbed himself in the butt of the hippo beside him.","Teppic stepped back, and a knife ripped past his nose and buried itself in the buttocks of the hippo next to him."
286,I want to sleep with him.,"I do want to sleep with him,"
287,shut up. You're drunk.,You're drunk.
288,"What, is this guy crazy?",is that the guy crazy?
289,What do we do with this shit?,what are we gonna do about it?
290,give me my fucking hand!,"Come back with my hand, trut!"
291,"An immature girlin a sagging, old body!",you're a little girl in an old body!
292,what the hell are you doing?,Oi... ...what do you both think you're doing?
293,And get two people killed.,and he killed two people.
294,Your mom has a killer bod!,your mom has a great show.
295,Better you than the rats.,better than rats.
296,Fuckin' know you understand me.,I know what you mean.
297,and the children too... half of them will come back as drool idiots if the commander of the procession makes his way.,So did the children... half of whom would come back drooling and roont if the parade-marshal had his way.
298,It's round and it's got a couple of slits like one of those... brain suckers.,"it's round, and it has some notches like the brains."
299,It's her brain.,her brain.
300,"I suck, okay?","I'm terrible, okay?"
301,"""more likely it was in a brothel where I came across my butt.","""More likely it was that brothel where I sprained my back."
302,it's called a butt.,That is called a roach.
303,"Oh, shit! - In fact, I ain't gonna sell it at all!",I'm not going to sell it at all!
304,"Wait, wait -- I mean, I hate Mondays. ♪ Follow your heart ♪ ♪ baby, you're a star ♪ ♪ a disgusting fat star ♪",wait... I want to say I hate Mondays. Follow your heart You're our star
305,his son will kill him in some stories.,In some tales it is his son who slays him.
306,He meant to kill the old woman when she was alone and he went there...,he killed her... Didn't want to... He wanted to kill an old woman... And he came... When she was alone....
307,stop being crazy.,Stop fooling around.
308,"Have fun paying your electric bill, losers.","enjoy paying your bills, paddies!"
309,"You're black. Second of all, I'm of mixed race, and I've struggled my whole life as to whether I'm Chinese or whether I'm black.","secondly, I'm a half-breed, and all my life I struggle with whether I'm Chinese or I'm black."
310,Bob was certain that the man had unriddled him... ...had seen through his reasons for coming along... ...that Jesse could forecast each of Bob 's possible moves and inclinations... ...and was only acting the innocent... ...in order to lull Bob into stupid tranquility and miscalculation.,"Bob was sure Jesse had figured him out,.... that he knew his reasons and motivations,.... that he could anticipate every Bob's movement,.... and he was just pretending to be innocent,.... to appease him and confuse him."
311,Ahh! Drunken Maid Flirting With the Master.,a drunken maid flirts with a master
312,"Just remember... I'll only tell you one time... don't fuck me, Tony.","but remember, and I'm not going to repeat it, you can't double-cross me, Tony."
313,"Sometimes when I'm searching for, you know, porn to masturbate to, if I'm looking for girls that are a lot like the girl that I'm seeing, that's a good sign. All right?","sometimes, when I'm looking for a porn I'd do it for when I'm looking for girls like my girls, that's a good sign."
314,"oh, shit, you got lost.","Homes, you got lost."
315,"CATTI-brie had grown among the dwarves, and she considered such things as rubbish, and worse, for weakness.","To Catti-brie's dwarven-reared sensibilities, this was all nonsense and, worse, weakness."
316,she was the one that the killer really wanted to kill.,She's the one that the killer's trying to hide.
317,"Of really weird shit went down with the rainmaker, with you, with me.","a lot of weird things happened with Raimaker, you, me."
318,He's a bad person.,he's a bad man.
319,We are incestuous and fratricidal,only inroads and fratricide!
320,"Vivanza is used to treat adult men with erectile dysfunction (sometimes called impotence), when they cannot get, or keep, a hard penis (erection) sufficient for satisfactory sexual activity.",Vivanza is used to treat adult men with erectile dysfunction (sometimes called impotence) who are unable to achieve or maintain an erection (penis enlargement) sufficient to satisfy sexual activity.
321,"I mean, until he lost his mind and his nuts?","I mean, before he lost his mind and his teeth."
322,You out of your mind?,have you lost your mind?
323,"all right, skinny boy, I'm not gonna hurt you.","Okay, Slim, I'm not gonna hurt you."
324,"you want to lose your head, be gutted and plucked?","Decapitated, gutted, feathered? Is that what you want?"
325,"""I want the truth, not your bullshit!""","""I want to hear the truth, not your gibberish!"""
326,"of course not, motherfucker!",Course not! Twat.
327,Now if you ask me fucking why.,then don't ask me why.
328,"now, get rid of them all and go to my place.","All right, kick everybody out, and let's go back to my place."
329,but you don't believe his brain.,But... Not a real brain trust here.
330,It's like fucking camels getting off the desert. Let's go.,how to beat the camels in the desert.
331,Bullshit - Go clean the bathroom,you better go wash the toilets.
332,my father had to promise that his perverted son would stop seeing teenage girls.,They made my father promise that his sicko son... ...would cease contactwith any more little girls.
333,You ain't got the manners they give a monkey!,you don't even have a monkey!
334,I didn't say you were gonna kill us!,I didn't tell you to get us killed.
335,"if they need to be killed for security, we will do so in the name of God.","That means if we have to bring them down to ensure that safety, by God we will do it!"
336,when he threw my putty into a garbage truck.,The time he threw my Tamagotchi down the garbage disposal.
337,"Thurston, there is a seatbelt stabbing into my ovaries.","Thurston, a seatbelt is pushing me into the ovaries."
338,"I know you're acting like a tough doctor, but stop sounding like a pirate pirate.","You're going for that gruff doctor routine, but you just come off sounding like a cartoon pirate. ""Gladys."
339,I thought your ass was in jail.,I thought you were in jail.
340,"Believe me, sooner or later, he'd have slapped a price tag on my ass.","sooner or later, he would have slapped a price tag on me."
341,get your fucking hands off me!,Get your paws off!
342,"then when you find her, you bring her back here to us, and we will destroy her with the potion.","Then, after you find her, you lure her back here to us and we vanquish her with the potion."
343,are you a pussy?,You chicken?
344,Grandpa raped them all.,The old man violated them all.
345,I'll hit you.,I'll take it for you.
346,"Once, even I was a screw-up.",I was once a fly.
347,"It wasn't me, it was my evil clone.","that wasn't me, but my bad clone."
348,What the hell is it about?,what's going on?
349,he could have killed her!,She could have been killed.
350,Toby might find out he's fucking his chick.,Toby could still find out you're bangin' his chick.
351,"Darren, you're not human because of what you are.","Darren, being human's not about what you are."
352,"""Are you telling me the fiends responsible for this shameful debacle have vanished?""","""are you telling me that the bad guys are responsible for this shameful catastrophe?"""
353,what the hell are we gonna pay for this lawyer?,Howthe hell are we gonna pay for an attorney?
354,Good! That's because I blew it out of the goddamn airlock.,because I let her out of the airlock.
355,We've had it with you. We gave you $2500 on that Lebanon gig. - You fucked it away in Greece.,"we gave you $2,500 for Lebanon, and you blew it off...... and ended up in Greece."
356,"we got a life braggard coming up, and your brother's not up to it!","We got the biggest ruck of our lives coming up, and your brother's too much of a bottle-job to lead us."
357,It's to skin her.,get her out of your skin.
358,get off me!,Get off me! - Hey!
